MONTH,VERSION,DATE,HOUR,SETTLED ENERGY SUPPLIED TO CUSTOMERS FOR ALL LOAD REPRESENTATIVES (MWh),SCHEDULED NET EXPORT ENERGY FOR ALL LOAD REPRESENTATIVES (MWh),UA2 - DEVIATION CREDIT OR DEBIT DUE TO GUARANTEES FOR COMMERCIAL SCHEDULES (€),UA2 - DEVIATION CREDIT OR DEBIT DUE TO RETURN OF GUARANTEES FOR COMMERCIAL SCHEDULES (€),UA2 - ADDITIONAL CHARGES OR CREDITS FOR GENERATION DEVIATIONS (€),UA2 - CHARGE OR CREDIT CORRESPONDING TO THE INTERCONNECTIONS NET COST (€),UA2 - LOSSES OND OTHER (€),UA3.1 - REMUNERATION FOR SYSTEM PRIMARY CONTROL (€),UA3.1 - REMUNERATION FOR SYSTEM SECONDARY CONTROL (€),UA3.1 - REMUNERATION FOR SYSTEM TERTIARY CONTROL FROM NON-SPINNING UNITS (€),UA3.1 - REMUNERATION FOR STANDING ENERGY RESERVE (€),UA3.1 - REMUNERATION FOR DESYNCHRONIZATION OF DISPATCHABLE UNITS AFTER A DISPATCH ORDER (€),UA3.1 - REMUNERATION FOR BLACK START (€),UA3.1 - ADDITIONAL COST FOR NATURAL GAS PROVISION (€),UA3.2 - REMUNERATION FOR CONTRACTED UNITS (€),UA3.2 - REMUNERATION FOR EMERGENCY RESERVE UNITS (€),UA3.2 - GENERATION REMUNERATION BALANCE FOR PRODUCTION FROM CONTRACTED UNITS (€),UA3.2 - GENERATION REMUNERATION BALANCE FOR PRODUCTION FROM EMERGENCY RESERVE UNITS (€),UA3.3 - REMUNERATION FOR EMERGENCY IMPORTS (€),UA3.3 - REMUNERATION FOR EMERGENCY EXPORTS (€),UA3.3 - IMPORT DEVIATION CHARGE OR CREDIT THAT CORRESPONDS TO EMERGENCY IMPORTS (€),UA3.3 - EXPORT DEVIATION CHARGE OR CREDIT THAT CORRESPONDS TO EMERGENCY EXPORTS (€),UA3.3 - IMPORT DEVIATION CREDIT OR DEBIT DUE TO RETURN EMERGENCY PROGRAMS (€),UA3.3 - EXPORT DEVIATION CREDIT OR DEBIT DUE TO RETURN EMERGENCY PROGRAMS (€),UA3.4 - CASC FEE (€),UA3.4 - ITC COST FOR TSO SCHEDULES WITH PERIMETER COUNTRIES (€),UA3.5 - REMUNERATION FOR PRODUCTION UNITS COST RECOVERY MECHANISM (€),UA3.6 - SPECIAL CONSUMPTION TAX FOR NATURAL GAS (€)
201401,11,1/1/2014,1,"533,486,182",0,0,0,"1,566,218,556","-1,143,372,622","1,808,021,328","0,21","0,147961082",0,0,"5,847,191,915",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"1,351,865,901","1,425,519,224"
201401,11,1/1/2014,2,"5,000,465,749",91,0,0,"-2,179,137,016","1,794,109,861","1,197,577,974","0,28","1,541,930,806",0,0,"5,325,822,048",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"1,231,325,622","1,080,009,018"
201401,11,1/1/2014,3,"4,866,966,675",64,0,0,"-1,901,988,926","2,636,091,482","9,734,044,609","0,28","1,553,661,646",0,0,"4,995,340,918",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"115,491,866","1,052,523,516"
201401,11,1/1/2014,4,"4,646,556,591",5,0,0,"-1,037,431,907","4,316,900,544","1,040,622,114","0,28","1,553,661,646",0,0,"4,445,264,589",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"1,027,741,471","1,044,697,048"
201401,11,1/1/2014,5,"4,648,402,647",0,0,0,"-5,695,010,468","2,732,569,179","1,348,666,375","0,28","1,553,661,646",0,0,"4,439,238,494",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"1,026,348,243","104,355,636"
201401,11,1/1/2014,6,"4,536,138,985",18,0,0,"-6,625,496,396","6,074,410,529","1,828,007,148","0,184","1,553,661,646",0,0,"4,261,019,867",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"9,851,442,448","1,045,272,355"
201401,11,1/1/2014,7,"4,578,945,328",28,0,0,"-5,648,046,939","2,440,703,338","1,872,892,379","0,184","1,553,661,646",0,0,"436,040,787",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"1,008,122,668","1,045,864,706"
201401,11,1/1/2014,8,"4,488,784,959",10,0,0,"-4,254,055,524","-6,010,702,148","1,881,202,576","0,184","1,550,254,547",0,0,"4,158,066,848",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"9,613,415,926","8,868,628,334"
201401,11,1/1/2014,9,"4,533,828,378",27,0,0,"-3,277,671,862","1,119,676,407","2,221,028,192","0,28","8,125,555,868",0,0,"4,273,546,744",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"9,880,404,483","8,417,672,639"
201401,11,1/1/2014,10,"492,011,263",8,0,0,"2,620,551,086","8,969,754,987","2,225,742,794","0,28","8,413,485,556",0,0,"4,989,559,982",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"1,153,582,113","6,303,346,692"
