MONTH,VERSION,DATE,HOUR,SETTLED ENERGY SUPPLIED TO CUSTOMERS FOR ALL LOAD REPRESENTATIVES (MWh),SCHEDULED NET EXPORT ENERGY FOR ALL LOAD REPRESENTATIVES (MWh),UA2 - DEVIATION CREDIT OR DEBIT DUE TO GUARANTEES FOR COMMERCIAL SCHEDULES (€),UA2 - DEVIATION CREDIT OR DEBIT DUE TO RETURN OF GUARANTEES FOR COMMERCIAL SCHEDULES (€),UA2 - ADDITIONAL CHARGES OR CREDITS FOR GENERATION DEVIATIONS (€),UA2 - CHARGE OR CREDIT CORRESPONDING TO THE INTERCONNECTIONS NET COST (€),UA2 - LOSSES OND OTHER (€),UA3.1 - REMUNERATION FOR SYSTEM PRIMARY CONTROL (€),UA3.1 - REMUNERATION FOR SYSTEM SECONDARY CONTROL (€),UA3.1 - REMUNERATION FOR SYSTEM TERTIARY CONTROL FROM NON-SPINNING UNITS (€),UA3.1 - REMUNERATION FOR STANDING ENERGY RESERVE (€),UA3.1 - REMUNERATION FOR DESYNCHRONIZATION OF DISPATCHABLE UNITS AFTER A DISPATCH ORDER (€),UA3.1 - REMUNERATION FOR BLACK START (€),UA3.1 - ADDITIONAL COST FOR NATURAL GAS PROVISION (€),UA3.2 - REMUNERATION FOR CONTRACTED UNITS (€),UA3.2 - REMUNERATION FOR EMERGENCY RESERVE UNITS (€),UA3.2 - GENERATION REMUNERATION BALANCE FOR PRODUCTION FROM CONTRACTED UNITS (€),UA3.2 - GENERATION REMUNERATION BALANCE FOR PRODUCTION FROM EMERGENCY RESERVE UNITS (€),UA3.3 - REMUNERATION FOR EMERGENCY IMPORTS (€),UA3.3 - REMUNERATION FOR EMERGENCY EXPORTS (€),UA3.3 - IMPORT DEVIATION CHARGE OR CREDIT THAT CORRESPONDS TO EMERGENCY IMPORTS (€),UA3.3 - EXPORT DEVIATION CHARGE OR CREDIT THAT CORRESPONDS TO EMERGENCY EXPORTS (€),UA3.3 - IMPORT DEVIATION CREDIT OR DEBIT DUE TO RETURN EMERGENCY PROGRAMS (€),UA3.3 - EXPORT DEVIATION CREDIT OR DEBIT DUE TO RETURN EMERGENCY PROGRAMS (€),UA3.4 - CASC FEE (€),UA3.4 - ITC COST FOR TSO SCHEDULES WITH PERIMETER COUNTRIES (€),UA3.5 - REMUNERATION FOR PRODUCTION UNITS COST RECOVERY MECHANISM (€),UA3.6 - SPECIAL CONSUMPTION TAX FOR NATURAL GAS (€)
201601,12,1/1/2016,1,"5,801,890,987",2,0,0,"1,481,791,999","3,063,281,332","4,159,050,727","0,12","0,258072137",0,0,"7,569,372,197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,789,769,649","1,547,673,153"
201601,12,1/1/2016,2,"542,839,984",0,0,0,"7,584,014,136","9,194,546,815","-9,923,538,654","0,12","0,198646847",0,0,"6,621,631,764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,440,470,206","1,033,219,765"
201601,12,1/1/2016,3,"5,302,105,551",0,0,0,"1,832,747,311","346,692,708","-937,466,541","0,108","0,19324519",0,0,"6,317,105,148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,328,233,803","1,104,246,008"
201601,12,1/1/2016,4,"5,012,932,184",0,0,0,"5,189,235,352","2,587,761,167","-9,759,467,411","0,108","0,192611817",0,0,"5,646,834,068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,081,198,531","9,447,047,936"
201601,12,1/1/2016,5,"47,615,931",0,0,0,"-5,923,580,634","3,904,880,672","-8,834,530,104","0,054","0,194196626",0,0,"5,094,785,778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"187,773,548","9,341,322,591"
201601,12,1/1/2016,6,"4,687,396,307",0,0,0,"-4,647,403,982","-3,705,044,088","-8,895,050,987","0,058008","0,194198007",0,0,"4,937,245,408",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,819,672,363","9,406,009,821"
201601,12,1/1/2016,7,"4,727,903,478",0,0,0,"-4,061,742,979","-8,071,117,595","-8,807,366,351","0,108","0,195653155",0,0,"5,022,946,712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,851,258,456","9,820,475,698"
201601,12,1/1/2016,8,"4,806,801,174",0,0,0,"-5,679,055,537","-6,023,392,088","-9,015,730,005","0,162","0,194150189",0,0,"5,191,988,055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,913,560,375","1,067,966,315"
201601,12,1/1/2016,9,"5,007,173,198",0,0,0,"-3,264,583,694","-7,025,914,734","-8,878,810,754","0,108","0,195190595",0,0,"5,633,867,063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,076,419,409","1,276,844,957"
201601,12,1/1/2016,10,"5,497,541,933",0,0,0,"-4,805,094,297","1,561,482,407","-8,541,684,729","0,108","0,189128722",0,0,"679,138,684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,503,035,178","1,446,475,213"
