MONTH,VERSION,DATE,HOUR,SETTLED ENERGY SUPPLIED TO CUSTOMERS FOR ALL LOAD REPRESENTATIVES (MWh),SCHEDULED NET EXPORT ENERGY FOR ALL LOAD REPRESENTATIVES (MWh),UA2 - DEVIATION CREDIT OR DEBIT DUE TO GUARANTEES FOR COMMERCIAL SCHEDULES (€),UA2 - DEVIATION CREDIT OR DEBIT DUE TO RETURN OF GUARANTEES FOR COMMERCIAL SCHEDULES (€),UA2 - ADDITIONAL CHARGES OR CREDITS FOR GENERATION DEVIATIONS (€),UA2 - CHARGE OR CREDIT CORRESPONDING TO THE INTERCONNECTIONS NET COST (€),UA2 - LOSSES OND OTHER (€),UA3.1 - REMUNERATION FOR SYSTEM PRIMARY CONTROL (€),UA3.1 - REMUNERATION FOR SYSTEM SECONDARY CONTROL (€),UA3.1 - REMUNERATION FOR SYSTEM TERTIARY CONTROL FROM NON-SPINNING UNITS (€),UA3.1 - REMUNERATION FOR STANDING ENERGY RESERVE (€),UA3.1 - REMUNERATION FOR DESYNCHRONIZATION OF DISPATCHABLE UNITS AFTER A DISPATCH ORDER (€),UA3.1 - REMUNERATION FOR BLACK START (€),UA3.1 - ADDITIONAL COST FOR NATURAL GAS PROVISION (€),UA3.2 - REMUNERATION FOR CONTRACTED UNITS (€),UA3.2 - REMUNERATION FOR EMERGENCY RESERVE UNITS (€),UA3.2 - GENERATION REMUNERATION BALANCE FOR PRODUCTION FROM CONTRACTED UNITS (€),UA3.2 - GENERATION REMUNERATION BALANCE FOR PRODUCTION FROM EMERGENCY RESERVE UNITS (€),UA3.3 - REMUNERATION FOR EMERGENCY IMPORTS (€),UA3.3 - REMUNERATION FOR EMERGENCY EXPORTS (€),UA3.3 - IMPORT DEVIATION CHARGE OR CREDIT THAT CORRESPONDS TO EMERGENCY IMPORTS (€),UA3.3 - EXPORT DEVIATION CHARGE OR CREDIT THAT CORRESPONDS TO EMERGENCY EXPORTS (€),UA3.3 - IMPORT DEVIATION CREDIT OR DEBIT DUE TO RETURN EMERGENCY PROGRAMS (€),UA3.3 - EXPORT DEVIATION CREDIT OR DEBIT DUE TO RETURN EMERGENCY PROGRAMS (€),UA3.4 - CASC FEE (€),UA3.4 - ITC COST FOR TSO SCHEDULES WITH PERIMETER COUNTRIES (€),UA3.5 - REMUNERATION FOR PRODUCTION UNITS COST RECOVERY MECHANISM (€),UA3.6 - SPECIAL CONSUMPTION TAX FOR NATURAL GAS (€)
201301,14,1/1/2013,1,"5,300,367,806",103,0,0,"3,733,648,675","1,427,076,526","1,664,265,474","0,07","2,097,763,279",0,0,"2,358,597,778",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"1,131,594,568","1,877,962,153"
201301,14,1/1/2013,2,"4,958,137,918",27,0,0,"2,810,331,465","4,148,874,061","1,363,604,871","0,07","1,995,240,284",0,0,"2,007,609,209",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"9,631,992,778","1,543,596,715"
201301,14,1/1/2013,3,"4,823,809,761",18,0,0,"1,982,466,659","4,098,961,799","1,247,270,128","0,07","1,909,754,263",0,0,"1,893,826,838",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"9,086,094,215","1,454,007,363"
201301,14,1/1/2013,4,"4,470,394,642",27,0,0,"-220,505,139","2,648,224,341","1,263,449,171","0,07","0,247698267",0,0,"1,633,980,313",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"7,839,417,405","119,096,329"
201301,14,1/1/2013,5,"4,221,163,367",63,0,0,"1,311,761,883","4,569,831,623","8,927,900,184","0,07","0,216324721",0,0,"1,482,712,231",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"711,367,204","1,187,076,026"
201301,14,1/1/2013,6,"4,106,930,381",104,0,0,"8,823,956,247","4,018,402,984","-4,835,619,148","0,07","0,253101064",0,0,"1,432,454,863",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"687,255,011","119,806,855"
201301,14,1/1/2013,7,"4,136,977,655",104,0,0,"9,091,788,231","3,642,869,373","-6,353,531,376","0,07","0,31558375",0,0,"1,452,970,483",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"6,970,978,782","121,391,462"
201301,14,1/1/2013,8,"4,177,954,839",219,0,0,"1,262,715,107","6,581,965,908","1,896,924,941","0,07","0,315617699",0,0,"1,561,812,281",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"7,493,173,741","1,270,068,272"
201301,14,1/1/2013,9,"426,785,871",47,0,0,"1,180,438,741","2,463,865,251","-6,573,436,278","0,07","0,31551666",0,0,"1,504,035,136",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"7,215,973,855","1,229,351,643"
201301,14,1/1/2013,10,"4,661,321,746",13,0,0,"-9,465,228,437","340,563,193","1,003,292,877","0,07","3,154,835,187",0,0,"1,765,070,388",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"8,468,353,874","1,197,858,527"
201301,14,1/1/2013,11,"5,117,711,529",13,0,0,"-1,012,406,536","-5,144,911,767","1,690,257,162","0,07","0,315617699",0,0,"2,126,571,642",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"1,020,274,394","1,224,923,552"
201301,14,1/1/2013,12,"5,575,524,773",13,0,0,"-3,703,842,334","1,256,180,861","1,631,342,307","0,056","0,317872004",0,0,"2,523,011,234",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"1,210,475,917","1,265,753,114"
201301,14,1/1/2013,13,"5,684,815,199",13,0,0,"-1,850,303,331","8,927,600,443","1,268,302,293","0,07","0,323041911",0,0,"262,265,728",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"1,258,283,527","1,320,473,873"
201301,14,1/1/2013,14,"5,414,219,417",13,0,0,"-1,456,439,405","105,702,329","2,087,450,618","0,036","3,331,864,317",0,0,"2,379,466,437",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"1,141,606,814","1,476,985,918"
201301,14,1/1/2013,15,"4,891,080,926",13,0,0,"-1,814,156,238","4,256,113,445","1,808,031,099","0,07","3,342,654,013",0,0,"1,942,853,615",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"9,321,312,086","1,479,922,664"
201301,14,1/1/2013,16,"5,055,114,629",18,0,0,"-8,251,803,123","-1,670,656,592","214,126,752","0,07","0,410212273",0,0,"2,079,094,236",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"9,974,959,556","1,689,006,801"
201301,14,1/1/2013,17,"5,215,434,104",31,0,0,"5,118,166,996","3,964,451,123","2,230,807,599","0,07","3,180,903,444",0,0,"2,223,582,607",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"1,066,817,761","165,633,671"
201301,14,1/1/2013,18,"5,507,916,208",38,0,0,"-1,630,399,367","1,623,765,532","1,863,064,516","0,07","0,387775383",0,0,"2,484,685,529",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"1,192,088,229","1,712,943,856"
201301,14,1/1/2013,19,"6,027,777,481",38,0,0,"-8,592,458,261","1,318,888,825","1,032,175,341","0,07","0,316330539",0,0,"2,972,335,116",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"1,426,049,962","1,678,398,495"
201301,14,1/1/2013,20,"6,097,612,411",38,0,0,"-1,123,468,883","1,261,844,326","1,096,470,275","0,07","0,317965296",0,0,"3,041,169,721",0,0,0,0,0,0,0,0,0,0,0,0,"1,416,794,355",0,"1,459,075,036","1,605,283,241"
